0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1,999999,49,41,999999,33,999999,999999,999999,999999,999999,999999,999999,999999,999999,31,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,53,999999,13,6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,29,999999,42,999999,999999,999999,9,999999,999999,174,999999,999999,999999,999999,999999,999999,84,999999,999999,97,999999,999999,999999,999999,999999,999999,13,13,999999,37,999999,999999,243,999999,999999,1552,50,999999,999999,999999,999999,999999,999999,999999,999999,50,20,999999,999999,21,29,999999,59,999999,10,46,999999,117
2,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,49,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,90,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1008,999999,999999,999999,999999,46,999999,999999,999999,999999,999999,999999,999999,204,999999,91,999999,999999,178,999999,999999,999999,999999,999999,999999,999999,999999
3,999999,999999,999999,999999,168,6,999999,999999,999999,11,33,999999,999999,999999,999999,999999,999999,82,999999,999999,999999,999999,999999,999999,999999,999999,373,999999,999999,999999,999999,999999,999999,999999,999999,61,999999,999999,24,999999,999999,999999,999999,999999,336,999999,999999,999999,999999,999999,999999,22,123,105,53,28,245,999999,110,65,999999,127,62,126,28,63,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,999999,14,999999,76,59,999999,273,429,350,89,999999,999999,999999,999999,12,999999,999999,999999,999999,65,999999,999999,999999,80,52,288
4,999999,999999,999999,999999,134,297,999999,999999,999999,168,185,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,126,999999,999999,155,130,139,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,21,65,114,132,155,198,250,116,476,999999,96,86,141,159,69,999999,999999,999999,999999,999999,999999,22,198,999999,999999,157,999999,999999,999999,999999,999999,190,999999,999999,125,999999,275,272,213,363,999999,999999,999999,999999,39,999999,999999,184,999999,153,999999,999999,999999,241,136,296
5,999999,7,620,999999,35,999999,999999,999999,113,22,71,230,146,999999,213,999999,370,999999,24,999999,999999,999999,999999,999999,999999,999999,999999,26,16,17,5,1145,999999,999999,999999,999999,999999,999999,28,999999,999999,999999,11,788,999999,999999,999999,51,999999,39,999999,43,999999,70,999999,717,33,1750,49,999999,999999,999999,999999,999999,13,37,999999,999999,70,999999,999999,999999,999999,85,25,16,36,999999,23,999999,60,32,999999,18,108,29,672,999999,999999,52,999999,999999,999999,18,78,34,88,999999,15,1058,999999,999999,999999,999999,13,28,6
6,999999,999999,999999,999999,999999,999999,123,999999,999999,999999,92,999999,999999,999999,24,999999,999999,999999,999999,999999,228,999999,109,219,63,999999,999999,125,999999,999999,999999,999999,999999,999999,318,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,7,999999,999999,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,12,999999,999999,999999,312,999999,999999,999999,611,999999,91,999999,138,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,999999,25,999999
7,999999,91,960,999999,999999,999999,999999,999999,999999,999999,999999,36,143,999999,7,999999,2532,999999,35,999999,999999,999999,999999,999999,999999,999999,999999,45,999999,2522,55,28,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,98,13,999999,999999,96,999999,45,999999,73,152,8,196,177,999999,34,225,999999,999999,1157,999999,95,999999,85,999999,999999,21,8,999999,25,999999,999999,23,17,78,999999,57,173,189,23,999999,45,67,57,33,999999,22,75,999999,999999,999999,184,10,36,40,999999,31,58,999999,999999,999999,147,88,120,38
8,384,999999,999999,999999,451,999999,999999,999999,999999,387,97,999999,999999,999999,999999,999999,999999,157,999999,999999,999999,999999,999999,999999,999999,999999,446,999999,999999,249,58,40,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,15,999999,999999,999999,999999,999999,999999,999999,999999,43,258,141,308,326,245,306,116,56,999999,61,41,144,103,16,999999,999999,999999,999999,999999,999999,255,999999,999999,999999,152,999999,999999,999999,23,999999,999999,999999,9,148,999999,204,140,380,255,999999,999999,999999,999999,23,999999,999999,999999,999999,121,999999,999999,999999,478,162,184
9,999999,424,31,999999,89,999999,999999,999999,999999,148,128,999999,999999,999999,40,66,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,220,999999,999999,999999,999999,999999,85,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,172,999999,999999,999999,999999,999999,999999,999999,999999,100,60,99,95,144,999999,26,317,999999,74,137,352,234,17,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,189,999999,999999,999999,999999,999999,68,999999,999999,114,143,215,190,109,528,999999,999999,999999,999999,999999,999999,999999,1582,999999,105,999999,999999,999999,265,223,306
10,999999,999999,999999,999999,189,376,7,999999,999999,136,290,999999,999999,999999,82,999999,183,999999,999999,999999,999999,999999,999999,999999,999999,999999,38,999999,999999,177,205,76,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,276,451,56,183,89,30,198,171,244,999999,999999,73,54,88,124,999999,999999,7,999999,999999,999999,999999,999999,999999,999999,113,90,999999,999999,999999,443,999999,62,5,7,111,999999,217,320,131,284,999999,999999,999999,999999,52,999999,999999,999999,999999,319,999999,999999,999999,48,123,137
11,999999,999999,999999,999999,45,309,999999,999999,999999,999999,306,999999,999999,999999,999999,999999,999999,354,999999,999999,999999,999999,999999,999999,999999,999999,236,999999,999999,999999,999999,62,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,35,999999,999999,999999,999999,999999,999999,999999,999999,61,69,142,196,30,249,52,50,999999,39,109,33,55,67,999999,999999,999999,58,999999,999999,142,999999,999999,999999,75,999999,999999,999999,999999,999999,212,999999,119,92,40,116,479,375,56,999999,999999,999999,999999,73,999999,999999,198,999999,131,999999,1695,999999,204,86,109
12,999999,999999,999999,38,999999,999999,999999,999999,999999,79,999999,999999,999999,999999,999999,78,98,54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,147,999999,999999,999999,999999,105,999999,999999,999999,999999,999999,999999,999999,999999,64,165,91,999999,999999,999999,999999,999999,999999,9,999999,999999,999999,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,72,153,131,67,61,999999,999999,135,239,999999,999999,999999,999999,999999,999999,999999,999999,999999,131,999999,69,999999,999999,61,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,64,999999
13,999999,32,43,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,33,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,85,999999,166,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,765,999999,999999,18,999999,999999,999999,999999,999999,92,999999,999999,999999,134,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,98,80,46,19,999999,31,999999,999999,29,999999,999999,999999,999999,999999,999999,999999,999999,999999,22,999999,999999,999999,44,50,999999,999999,999999,999999,999999,1208,999999
14,30,11,182,999999,27,999999,19,999999,999999,15,999999,143,21,999999,1303,999999,7,284,119,999999,999999,999999,999999,999999,999999,999999,999999,17,5,154,13,18,999999,999999,224,999999,999999,999999,999999,999999,999999,999999,7,128,999999,999999,999999,14,999999,23,999999,31,15,47,999999,275,999999,29,17,999999,999999,6,999999,120,999999,40,999999,999999,33,11,21,46,999999,999999,71,752,30,999999,208,11,29,31,999999,16,54,44,210,15,999999,9,999999,11,9,19,48,26,13,999999,54,27,999999,999999,999999,8,48,32,1112
15,999999,999999,999999,999999,999999,999999,999999,21,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,46,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
16,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,86,999999,999999,999999,999999,999999,999999,999999,47,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,89,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
17,999999,999999,999999,1030,54,77,999999,999999,127,24,130,999999,999999,999999,999999,999999,147,999999,999999,999999,999999,999999,999999,999999,999999,999999,127,999999,999999,103,96,277,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,427,999999,999999,492,394,275,190,77,150,69,99,44,999999,61,92,235,109,999999,999999,999999,999999,999999,999999,80,999999,999999,999999,13,100,999999,999999,999999,999999,999999,334,999999,189,99,999999,79,196,280,145,999999,999999,999999,999999,999999,999999,999999,999999,64,191,999999,999999,999999,200,157,127
18,999999,999999,999999,999999,46,7,999999,999999,999999,14,24,999999,999999,999999,999999,999999,999999,198,999999,999999,999999,999999,999999,999999,999999,999999,438,999999,999999,171,91,118,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,96,345,56,188,183,202,143,156,999999,372,249,271,169,321,999999,999999,999999,999999,999999,999999,619,999999,999999,999999,213,999999,999999,999999,999999,999999,80,999999,219,146,12,999999,48,360,367,999999,999999,999999,999999,6,999999,999999,999999,999999,80,999999,999999,999999,462,205,106
19,999999,999999,999999,999999,1335,443,999999,999999,999999,85,126,999999,999999,999999,999999,999999,1317,999999,999999,999999,999999,999999,16,999999,999999,999999,133,999999,999999,910,19,443,57,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,69,92,92,47,74,260,203,83,999999,104,65,188,298,11,999999,999999,999999,999999,999999,999999,725,999999,999999,999999,107,999999,999999,999999,27,999999,9,999999,57,115,284,10,63,248,266,999999,999999,999999,999999,2379,999999,999999,999999,1984,99,999999,999999,999999,311,112,207
20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,63,999999,999999,999999,999999,999999,999999,999999,59,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
21,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,123,999999,999999,999999,206,305,159,119,999999,999999,999999,999999,999999,70,26,999999,316,140,999999,999999,999999,999999,999999,999999,5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,153,999999,187,999999,999999,999999,999999,53,999999,999999,999999,999999,999999,999999,999999,999999,253,999999,999999,999999,999999,999999,999999,999999,1296,999999,999999,999999,999999,38,999999,999999,183,192,106,999999,999999,999999
22,999999,999999,999999,999999,999999,999999,999999,999999,999999,140,123,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,40,999999,999999,194,30,48,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,43,108,48,20,123,42,82,999999,999999,56,50,999999,35,134,999999,999999,999999,999999,999999,999999,999999,999999,999999,108,76,999999,999999,999999,999999,999999,999999,18,999999,129,999999,16,95,52,89,999999,999999,999999,999999,999999,999999,999999,999999,999999,11,999999,999999,999999,999999,58,209
23,999999,999999,999999,999999,999999,999999,232,999999,999999,999999,91,999999,999999,999999,999999,999999,69,999999,999999,999999,219,999999,202,190,90,999999,999999,999999,999999,999999,999999,999999,999999,999999,244,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,102,999999,999999,999999,999999,999999,7,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,5,999999,999999,999999,182,999999,138,999999,999999,121,999999,79,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,22,999999
24,999999,999999,999999,999999,263,978,999999,999999,999999,149,960,999999,999999,999999,999999,999999,999999,1261,999999,999999,999999,999999,999999,999999,999999,999999,203,999999,98,77,134,186,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,393,999999,174,1740,84,448,162,86,151,280,999999,513,80,353,63,999999,999999,999999,999999,999999,999999,999999,95,999999,999999,57,412,999999,999999,999999,999999,999999,299,999999,999999,319,2757,283,128,414,991,999999,999999,999999,999999,753,999999,999999,999999,999999,940,999999,999999,999999,763,405,450
25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,93,999999,999999,999999,999999,999999,999999,999999,999999,94,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
26,999999,13,83,999999,61,999999,999999,999999,23,999999,48,16,33,999999,33,999999,999999,999999,70,999999,999999,999999,999999,999999,999999,999999,12,8,999999,27,999999,1363,999999,999999,999999,999999,999999,999999,7,127,999999,999999,999999,44,999999,999999,999999,999999,999999,47,999999,42,43,67,30,1210,999999,999999,55,10,999999,999999,999999,182,49,27,76,999999,14,34,999999,999999,999999,999999,76,64,45,999999,95,39,28,28,999999,66,56,44,41,59,999999,999999,999999,999999,999999,537,36,47,14,999999,803,249,999999,999999,999999,999999,35,23,109
27,999999,14,999999,999999,1248,999999,999999,999999,999999,999999,38,46,67,999999,33,999999,195,999999,17,999999,999999,999999,999999,999999,999999,999999,999999,31,999999,31,26,19,999999,999999,999999,999999,28,999999,36,39,999999,999999,12,999999,999999,999999,999999,999999,999999,23,999999,42,999999,129,39,999999,30,47,999999,999999,999999,35,36,121,999999,18,999999,999999,20,15,999999,999999,999999,999999,27,8,38,999999,32,8,30,48,999999,17,15,25,747,32,999999,56,999999,999999,999999,43,10,14,19,948,9,27,999999,999999,999999,999999,31,15,9
28,999999,999999,999999,999999,999999,999999,999999,23,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,127,999999,999999,999999,999999,999999,999999,999999,999999,999999,169,999999,999999,999999,999999,113,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,92,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
29,999999,999999,999999,999999,73,999999,999999,999999,999999,46,73,999999,999999,999999,108,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,12,999999,999999,89,248,46,999999,999999,999999,999999,60,999999,999999,28,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,133,116,121,147,46,40,78,73,999999,999999,219,5,751,223,999999,6,999999,999999,999999,7,999999,20,999999,999999,999999,99,999999,999999,999999,21,999999,999999,999999,999999,63,414,15,11,42,47,999999,999999,999999,999999,999999,999999,999999,20,999999,191,999999,999999,93,73,101,122
30,999999,999999,999999,999999,46,35,999999,999999,341,333,151,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,96,999999,999999,999999,999999,999999,999999,999999,999999,999999,2308,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,141,285,189,235,81,68,160,192,999999,48,75,177,154,454,999999,999999,999999,999999,999999,999999,15,999999,999999,108,64,999999,999999,999999,477,999999,46,999999,999999,127,999999,508,12,350,29,999999,999999,999999,999999,999999,999999,999999,999999,999999,231,999999,999999,871,12,161,124
31,999999,999999,999999,999999,73,71,999999,999999,999999,54,254,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,205,999999,999999,387,39,157,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,148,124,397,151,260,87,31,57,999999,101,84,185,60,128,999999,480,999999,135,999999,999999,999999,999999,999999,999999,103,999999,999999,999999,999999,999999,219,999999,999999,67,260,114,458,149,289,999999,999999,999999,999999,999999,999999,999999,999999,999999,38,999999,999999,999999,273,98,146
32,26,999999,999999,999999,425,30,999999,999999,43,999999,533,999999,999999,999999,204,999999,999999,34,999999,999999,999999,999999,999999,999999,999999,999999,242,999999,999999,206,314,124,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,398,279,99,399,174,180,152,221,188,999999,95,43,366,208,84,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,209,999999,999999,999999,209,999999,26,130,32,200,376,274,439,188,366,999999,999999,999999,999999,88,999999,999999,999999,999999,196,999999,999999,999999,220,186,159
33,999999,999999,999999,999999,999999,999999,999999,46,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,231,999999,999999,999999,999999,999999,999999,999999,197,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,181,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
34,999999,591,17,999999,27,999999,999999,999999,58,999999,40,86,7,999999,18,999999,63,999999,26,999999,999999,999999,999999,999999,999999,999999,29,21,999999,14,999999,999999,999999,999999,999999,999999,999999,999999,999999,36,999999,999999,999999,999999,999999,999999,999999,36,999999,56,999999,112,138,35,386,999999,35,999999,999999,999999,999999,999999,15,40,999999,24,999999,999999,24,101,999999,999999,999999,999999,19,999999,21,999999,120,12,39,33,999999,6,30,43,110,999999,999999,5,999999,11,999999,30,6,32,101,30,6,56,999999,999999,999999,999999,27,2872,792
35,999999,40,54,999999,154,15,999999,999999,999999,999999,842,80,321,999999,49,999999,43,999999,71,999999,999999,999999,999999,999999,999999,999999,999999,72,999999,1215,999999,24,999999,999999,138,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,355,999999,76,999999,95,57,73,283,999999,330,999999,999999,110,999999,63,999999,147,999999,999999,84,999999,999999,999999,999999,999999,211,999999,86,999999,45,42,36,61,999999,105,112,92,112,999999,53,37,999999,34,363,33,146,114,20,999999,70,173,999999,999999,84,999999,80,134,60
36,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,261,999999,999999,999999,999999,96,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
37,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,246,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
38,999999,999999,999999,999999,9,1631,2710,999999,999999,125,71,999999,999999,999999,999999,999999,337,999999,999999,999999,999999,999999,26,999999,999999,999999,999999,999999,999999,53,332,34,999999,999999,999999,999999,12,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,199,43,196,999999,353,76,115,999999,999999,152,180,366,134,66,999999,999999,999999,999999,999999,999999,122,999999,999999,999999,190,999999,999999,999999,999999,999999,20,999999,249,211,163,233,420,165,304,999999,999999,999999,999999,45,999999,999999,999999,999999,999999,999999,999999,999999,88,265,355
39,999999,999999,999999,999999,58,344,999999,999999,999999,999999,67,999999,999999,999999,45,999999,7,999999,999999,999999,999999,999999,999999,999999,999999,999999,402,999999,999999,143,67,234,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,17,169,117,239,132,328,398,114,999999,999999,54,29,115,64,19,999999,999999,999999,999999,999999,999999,341,999999,999999,999999,197,999999,999999,999999,68,999999,999999,999999,122,195,999999,165,452,159,133,999999,999999,999999,999999,90,999999,999999,999999,999999,999999,999999,999999,999999,37,166,165
40,999999,17,999999,999999,31,103,999999,999999,999999,999999,8,151,128,999999,10,999999,542,999999,33,999999,999999,999999,999999,999999,999999,999999,999999,67,999999,24,19,1071,999999,999999,999999,999999,999999,999999,457,999999,999999,999999,999999,19,999999,999999,999999,82,999999,35,999999,48,999999,999999,1033,268,999999,999999,167,999999,999999,999999,999999,99,8,44,999999,11,17,137,999999,999999,999999,999999,22,332,43,999999,53,18,777,45,999999,59,603,27,41,999999,999999,250,12,999999,999999,14,1065,44,18,999999,84,42,999999,999999,999999,1336,30,29,7
41,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,240,299,329,344,999999,999999,999999,999999,999999,401,175,999999,266,148,999999,355,999999,999999,999999,999999,91,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,16,999999,237,999999,999999,999999,999999,183,999999,999999,999999,999999,999999,5,999999,50,136,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,41,315,386,272,999999,199,999999
42,999999,999999,999999,999999,999999,999999,999999,125,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,81,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,39,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
43,999999,999999,999999,999999,999999,999999,999999,37,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
44,999999,999999,999999,999999,61,999999,999999,999999,22,528,36,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,269,999999,999999,85,296,36,999999,999999,999999,999999,608,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,189,82,244,307,1625,122,324,1283,999999,84,118,179,281,375,999999,475,999999,999999,999999,999999,83,14,999999,999999,193,999999,999999,999999,2007,999999,999999,999999,999999,125,114,69,196,154,182,999999,999999,999999,999999,1843,345,999999,999999,999999,204,999999,999999,278,159,247,115
