0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
45,43,11,999999,999999,14,999999,21,999999,999999,15,49,46,24,999999,91,999999,22,999999,74,999999,999999,999999,999999,999999,999999,999999,9,57,999999,47,999999,999999,999999,999999,999999,999999,999999,999999,367,78,999999,999999,999999,999999,999999,999999,999999,999999,999999,37,999999,32,136,17,51,24,999999,999999,35,999999,999999,9,41,999999,18,37,999999,24,29,24,999999,999999,999999,999999,26,75,31,999999,29,58,73,34,999999,19,37,41,23,1276,999999,97,999999,999999,39,20,999999,36,9,999999,35,37,999999,999999,999999,999999,23,36,999999
46,20,117,999999,999999,21,999999,19,999999,999999,109,111,999999,999999,999999,340,999999,169,999999,999999,999999,999999,999999,999999,999999,999999,999999,117,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,152,999999,999999,38,49,162,75,110,999999,99,88,999999,42,191,208,54,57,999999,194,999999,999999,999999,999999,129,999999,999999,999999,61,999999,999999,999999,999999,999999,91,999999,999999,51,999999,188,59,217,34,999999,999999,999999,999999,6,999999,999999,999999,999999,38,999999,26,999999,74,58,175
47,999999,999999,999999,999999,999999,999999,999999,236,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
48,999999,999999,999999,5,72,16,284,999999,999999,157,68,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,949,999999,999999,60,142,43,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,154,61,490,50,404,38,143,12,999999,196,241,93,18,999999,999999,999999,999999,999999,999999,999999,39,999999,999999,347,109,999999,999999,999999,321,999999,466,999999,108,113,50,34,185,379,59,999999,999999,999999,999999,999999,5,9,999999,999999,38,999999,999999,999999,23,127,188
49,999999,999999,999999,999999,47,999999,999999,999999,999999,44,107,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,57,999999,746,999999,999999,224,120,80,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,174,207,110,264,59,124,136,11,999999,54,36,39,999999,171,999999,43,999999,81,999999,999999,318,999999,999999,5,86,999999,999999,999999,94,999999,999999,999999,999999,98,999999,249,362,138,77,999999,999999,97,999999,30,999999,999999,999999,999999,89,999999,999999,999999,14,169,70
50,999999,12,999999,999999,138,999999,999999,999999,999999,999999,140,18,45,999999,11,1563,120,999999,86,999999,999999,999999,999999,999999,999999,999999,999999,14,30,999999,44,999999,999999,999999,999999,999999,999999,999999,22,999999,999999,999999,999999,999999,999999,999999,999999,18,999999,310,999999,18,999999,23,46,999999,26,999999,999999,999999,999999,999999,999999,25,21,47,999999,999999,51,58,999999,999999,24,999999,44,16,41,999999,39,730,634,19,999999,55,14,27,18,999999,999999,999999,47,999999,999999,600,57,29,25,999999,11,37,999999,999999,999999,999999,19,9,28
51,999999,16,69,999999,39,999999,8,999999,999999,809,275,36,51,999999,36,999999,999999,999999,173,999999,999999,999999,999999,999999,999999,999999,999999,53,26,36,999999,999999,999999,999999,999999,93,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,60,999999,72,999999,30,27,51,91,999999,173,999999,999999,116,133,46,34,71,999999,999999,74,25,192,999999,9,999999,20,999999,71,999999,32,60,150,47,999999,56,100,48,81,145,15,15,60,155,999999,136,17,67,29,999999,38,58,999999,999999,999999,999999,84,23,31
52,7,999999,999999,999999,168,180,999999,999999,161,189,363,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,305,999999,999999,199,142,320,999999,999999,999999,999999,999999,275,999999,999999,999999,999999,999999,117,346,999999,999999,999999,999999,999999,999999,235,218,129,72,101,386,224,231,484,999999,383,317,373,139,75,999999,999999,999999,999999,999999,999999,851,999999,999999,78,268,999999,244,999999,999999,999999,322,999999,16,235,115,329,328,385,169,999999,999999,999999,999999,209,999999,999999,999999,999999,50,999999,999999,999999,331,273,268
53,158,999999,999999,999999,45,1294,999999,999999,999999,52,62,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,65,999999,778,999999,999999,449,999999,80,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,241,337,559,86,321,7,120,63,999999,157,86,303,61,476,999999,999999,999999,348,999999,999999,1519,999999,999999,999999,158,999999,999999,999999,159,999999,635,999999,999999,134,999999,83,60,349,259,999999,999999,999999,999999,74,999999,999999,999999,999999,110,999999,999999,999999,149,185,119
54,999999,17,7,999999,84,256,999999,999999,999999,999999,14,80,44,999999,10,50,21,999999,36,999999,999999,999999,999999,999999,999999,999999,25,19,999999,34,25,759,999999,999999,999999,999999,999999,999999,192,51,999999,999999,999999,15,999999,999999,999999,9,42,29,999999,33,999999,1246,12,296,999999,999999,11,999999,999999,999999,999999,12,10,49,999999,999999,23,9,999999,999999,999999,999999,20,55,51,999999,16,73,35,19,999999,31,35,22,20,999999,66,28,999999,999999,1036,94,999999,34,22,999999,28,86,999999,57,999999,25,33,12,14
55,999999,999999,999999,999999,147,999999,999999,999999,999999,300,38,999999,999999,999999,999999,999999,1123,999999,999999,999999,999999,999999,999999,999999,999999,999999,202,999999,999999,73,115,52,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1399,293,217,191,157,106,225,164,289,999999,238,26,181,261,36,999999,19,999999,999999,999999,999999,68,999999,999999,999999,127,999999,999999,2823,129,999999,297,1216,1726,144,103,238,167,250,1444,999999,999999,999999,999999,999999,999999,999999,39,999999,42,999999,999999,291,67,122,222
56,999999,999999,999999,999999,409,446,13,999999,999999,13,294,999999,999999,999999,999999,9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,95,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,257,999999,999999,999999,999999,999999,999999,999999,999999,203,999999,66,999999,999999,304,253,183,130,126,999999,253,156,999999,55,100,12,70,507,999999,999999,999999,999999,999999,999999,101,999999,999999,101,106,999999,999999,999999,999999,999999,53,999999,999999,80,999999,220,432,264,150,999999,999999,999999,999999,78,999999,147,999999,358,272,52,999999,999999,98,170,339
57,999999,999999,999999,999999,235,999999,1582,999999,133,408,26,999999,999999,999999,999999,999999,146,103,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,168,59,74,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,124,443,434,155,215,77,37,198,147,999999,147,130,108,454,186,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,177,999999,999999,999999,999999,999999,79,186,999999,168,339,318,356,279,143,999999,999999,999999,999999,35,999999,999999,999999,999999,22,999999,999999,368,87,301,150
58,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,65,999999,999999,999999,999999,999999,999999,54,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,22,18,999999,999999,999999,999999,999999,25,39,999999,9,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
59,999999,16,24,999999,25,999999,999999,999999,999999,999999,52,46,58,999999,142,999999,999999,999999,66,999999,999999,999999,999999,999999,198,999999,13,124,999999,51,16,21,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,64,999999,92,999999,76,34,48,501,999999,32,999999,999999,97,657,999999,999999,36,999999,55,26,17,999999,7,999999,999999,16,49,40,999999,12,88,16,40,999999,72,21,69,57,76,999999,1054,5,100,999999,999999,256,36,154,999999,16,159,999999,999999,999999,2201,31,59,8
60,999999,999999,999999,999999,999999,999999,999999,87,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,153,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
61,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,333,106,101,96,999999,999999,999999,999999,999999,227,66,999999,89,329,999999,999999,47,999999,486,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,86,999999,999999,999999,999999,84,999999,999999,999999,999999,999999,1021,318,999999,42,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,156,76,148,999999,634,999999
62,999999,999999,999999,999999,29,999999,48,999999,999999,14,287,999999,999999,999999,1415,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,581,999999,999999,815,116,142,999999,999999,999999,999999,999999,999999,999999,1518,999999,999999,999999,999999,999999,999999,999999,999999,999999,28,999999,999999,108,159,136,81,452,1324,98,1028,999999,204,299,389,55,433,999999,999999,999999,999999,999999,999999,38,999999,999999,999999,204,999999,999999,999999,999999,999999,89,999999,999999,199,262,330,85,88,171,999999,999999,999999,999999,999999,999999,18,999999,1307,348,999999,999999,999999,2795,148,143
63,999999,999999,999999,999999,40,158,999999,999999,81,99,256,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,52,999999,999999,240,56,71,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,5,999999,999999,999999,999999,277,232,166,46,399,182,172,246,999999,157,325,95,32,333,999999,999999,999999,999999,999999,999999,217,999999,999999,999999,153,999999,179,999999,470,999999,149,999999,999999,180,999999,156,144,62,268,999999,999999,999999,999999,52,999999,999999,999999,999999,999999,999999,999999,999999,173,169,353
64,999999,999999,999999,999999,257,40,999999,999999,999999,22,156,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,5,999999,237,999999,999999,70,27,169,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,50,173,229,52,216,999999,169,12,999999,150,96,88,296,183,999999,999999,999999,999999,999999,999999,145,999999,999999,999999,129,999999,999999,999999,511,999999,32,150,999999,95,290,25,482,75,114,999999,999999,999999,999999,999999,483,999999,68,20,93,999999,999999,53,103,82,42
65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,399,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
66,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,219,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,37,34,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
67,999999,999999,999999,999999,102,316,999999,999999,999999,161,32,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,19,999999,999999,151,98,354,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,154,20,198,231,197,47,186,450,999999,233,70,224,999999,129,999999,999999,999999,999999,999999,999999,999999,999999,999999,127,158,999999,999999,999999,999999,999999,50,999999,999999,135,53,51,389,305,23,999999,999999,999999,999999,13,999999,999999,999999,999999,648,999999,999999,999999,181,127,238
68,999999,14,29,999999,48,999999,999999,999999,999999,999999,8,32,30,999999,49,999999,999999,12,92,999999,999999,999999,999999,999999,999999,999999,999999,30,999999,999999,277,999999,999999,37,999999,999999,999999,999999,27,999999,999999,999999,999999,999999,55,999999,999999,999999,999999,18,999999,33,16,496,999999,8,210,999999,637,999999,999999,14,53,126,19,38,999999,999999,24,79,999999,999999,999999,999999,13,11,46,999999,779,32,31,16,999999,16,59,14,498,196,108,112,438,999999,999999,43,111,38,186,999999,213,34,721,33,999999,999999,17,39,67
69,999999,1059,999999,999999,999999,999999,999999,999999,41,79,82,999999,999999,999999,205,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1228,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,66,73,999999,9,999999,999999,999999,14,999999,999999,999999,169,999999,999999,646,86,52,63,125,999999,59,999999,999999,999999,168,999999,59,999999,999999,999999,999999,999999,999999,999999,999999,999999,30,999999
70,999999,7,60,999999,105,27,999999,999999,999999,999999,24,144,16,999999,80,54,40,61,56,999999,999999,999999,999999,999999,999999,999999,5,12,9,999999,999999,6,999999,999999,999999,999999,999999,999999,999999,49,999999,999999,999999,999999,999999,999999,999999,999999,999999,22,999999,48,21,45,6,999999,1417,1226,999999,999999,999999,999999,999999,9,999999,29,999999,999999,31,999999,999999,999999,999999,999999,20,71,54,999999,101,16,34,7,39,99,28,38,28,114,999999,13,999999,381,999999,12,20,37,15,999999,54,51,999999,999999,999999,999999,41,14,106
71,999999,999999,999999,208,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,484,101,95,999999,999999,999999,999999,999999,999999,999999,999999,126,999999,168,999999,999999,999999,999999,297,999999,999999,999999,999999,999999,999999,999999,999999,122,109,184,999999,999999,999999,999999,999999,999999,999999,999999,74,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,114,119,172,145,20,999999,999999,172,118,999999,1228,999999,999999,999999,999999,999999,999999,999999,168,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,432,122,999999
72,999999,999999,999999,999999,196,195,999999,999999,418,132,380,999999,999999,999999,999999,999999,999999,417,999999,999999,999999,999999,999999,999999,14,999999,1169,999999,999999,103,1132,436,999999,1174,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,81,999999,177,209,163,196,423,147,233,168,151,999999,181,257,393,120,175,999999,999999,999999,222,999999,1722,887,999999,999999,47,263,999999,999999,91,1954,999999,49,999999,442,226,2498,410,222,210,62,999999,999999,999999,999999,154,999999,999999,999999,999999,237,999999,999999,999999,264,323,449
73,999999,999999,999999,99,999999,999999,999999,999999,999999,264,212,999999,999999,999999,999999,999999,134,134,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,280,286,999999,999999,999999,78,999999,999999,999999,999999,999999,999999,999999,999999,85,61,110,999999,999999,999999,999999,999999,999999,859,999999,999999,23,999999,999999,999999,999999,7,999999,999999,999999,999999,999999,999999,71,137,166,98,101,999999,999999,284,126,999999,63,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,16,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,7
74,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,62,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,111,171,165,211,999999,999999,999999,999999,999999,80,129,999999,397,49,999999,303,999999,999999,999999,999999,999999,999999,999999,999999,999999,91,999999,999999,999999,999999,999999,999999,999999,999999,999999,119,999999,999999,999999,999999,254,999999,999999,999999,999999,999999,999999,999999,492,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,5,999999,999999,999999,999999,999999,173,265,115,999999,43,999999
75,999999,999999,999999,999999,999999,203,1070,999999,81,108,81,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,40,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,417,116,999999,999999,999999,27,999999,999999,999999,556,97,999999,999999,999999,999999,999999,59,279,2772,113,20,999999,151,999999,999999,999999,999999,999999,192,999999,999999,999999,999999,999999,999999,999999,999999,999999,88,999999
76,999999,999999,999999,999999,50,999999,999999,999999,515,999999,146,999999,999999,999999,999999,999999,999999,1203,400,999999,999999,999999,999999,999999,999999,999999,147,999999,999999,550,108,43,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,252,289,499,269,21,148,70,999999,999999,435,82,763,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,177,999999,999999,999999,999999,999999,999999,999999,19,235,999999,106,207,664,81,999999,999999,999999,999999,999999,999999,999999,999999,999999,255,999999,999999,44,35,114,377
77,999999,999999,999999,999999,228,999999,48,999999,999999,150,166,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1004,999999,999999,235,46,152,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,80,56,184,87,156,171,165,251,999999,101,75,437,272,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,134,145,999999,999999,999999,999999,999999,999999,999999,999999,170,999999,2527,125,230,468,999999,999999,999999,999999,33,2456,999999,376,999999,999999,999999,999999,999999,224,118,438
78,999999,999999,999999,999999,91,999999,999999,999999,27,137,367,999999,999999,15,650,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,999999,318,999999,999999,1573,254,101,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,179,235,341,233,333,97,165,226,999999,246,65,503,24,999999,999999,24,999999,999999,999999,999999,296,999999,999999,76,150,999999,999999,999999,999999,999999,114,999999,999999,205,999999,497,133,286,109,999999,999999,999999,999999,999999,999999,999999,88,999999,329,289,999999,194,55,236,421
79,999999,999999,999999,999999,999999,999999,999999,5,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,207,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
80,999999,999999,999999,999999,36,344,999999,999999,15,999999,105,999999,999999,999999,7,999999,84,999999,999999,999999,999999,999999,999999,999999,999999,999999,295,999999,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,102,999999,999999,999999,77,423,16,112,124,35,127,999999,49,33,999999,72,226,65,21,199,999999,999999,999999,999999,39,999999,173,999999,999999,999999,77,999999,999999,999999,50,999999,404,999999,999999,89,999999,255,34,214,7,999999,999999,999999,999999,8,999999,999999,999999,999999,52,999999,31,999999,262,83,106
81,999999,999999,999999,999999,999999,999999,56,999999,999999,999999,20,999999,999999,999999,999999,999999,999999,1284,999999,999999,142,999999,210,268,185,999999,999999,999999,999999,999999,999999,999999,999999,1332,41,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,84,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,20,999999,25,999999,216,999999,999999,999999,42,52,36,999999,999999,219,999999,421,999999,999999,999999,999999,167,999999,999999,1424,999999,999999,999999,999999,999999,36,999999
82,999999,999999,999999,999999,59,353,999999,999999,999999,1116,35,999999,999999,999999,999999,473,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,980,999999,999999,1194,69,144,999999,999999,999999,999999,29,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,405,250,114,99,64,1179,111,999999,999999,80,164,327,399,471,999999,999999,999999,658,999999,999999,411,999999,999999,26,101,999999,333,999999,999999,999999,140,999999,393,147,227,55,1083,331,434,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,122,98,241
83,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,181,449,542,674,999999,999999,999999,999999,999999,285,865,999999,699,244,999999,256,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1303,999999,999999,999999,378,251,999999,999999,999999,225,999999,1168,999999,999999,999999,999999,999999,248,999999,999999,999999,999999,999999,999999,999999,999999,42,999999,453,999999,999999,999999,999999,999999,700,880,139,999999,999999,1128
84,999999,999999,999999,151,999999,999999,999999,999999,999999,999999,7,999999,999999,999999,999999,150,87,133,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,110,999999,999999,999999,999999,171,999999,999999,999999,999999,999999,999999,999999,999999,59,111,118,999999,999999,999999,999999,999999,999999,999999,999999,999999,424,999999,999999,999999,479,999999,999999,27,999999,999999,999999,999999,156,84,255,159,21,999999,999999,107,303,999999,63,999999,999999,999999,999999,999999,999999,999999,999999,25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,9,999999
85,999999,56,115,999999,999999,999999,999999,999999,999999,19,82,999999,999999,999999,117,999999,97,79,13,999999,999999,999999,999999,999999,999999,999999,16,42,999999,88,236,999999,999999,82,999999,999999,999999,999999,999999,999999,999999,999999,128,999999,100,999999,999999,999999,999999,1421,999999,88,68,224,58,40,20,115,813,999999,61,171,999999,999999,999999,128,999999,999999,999999,999999,999999,999999,999999,24,999999,999999,65,999999,81,108,83,16,999999,171,86,62,78,105,883,91,999999,999999,999999,60,136,119,152,108,143,117,62,999999,999999,999999,181,45,51
86,999999,999999,999999,999999,999999,999999,999999,23,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,15,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,42,86,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,194,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
87,999999,999999,999999,168,999999,73,999999,999999,193,60,91,999999,999999,999999,999999,999999,106,84,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,156,999999,999999,999999,999999,152,999999,999999,999999,999999,999999,999999,999999,999999,98,230,89,999999,999999,999999,999999,999999,999999,999999,25,999999,999999,999999,999999,999999,32,999999,999999,999999,999999,999999,999999,999999,66,95,47,94,79,999999,999999,189,172,999999,939,999999,999999,999999,999999,999999,999999,999999,999999,65,999999,999999,999999,182,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
88,999999,27,999999,999999,14,999999,999999,999999,999999,273,999999,30,36,999999,37,999999,125,7,159,999999,999999,999999,999999,999999,999999,999999,999999,59,999999,40,16,24,999999,999999,999999,999999,999999,999999,6,101,999999,999999,999999,126,999999,999999,999999,37,999999,16,999999,106,9,999999,108,40,19,999999,999999,999999,999999,999999,29,14,78,43,999999,70,26,614,10,999999,47,999999,21,26,52,999999,27,18,173,35,999999,32,80,37,734,999999,999999,999999,999999,999999,999999,16,7,23,256,999999,582,20,66,999999,999999,999999,93,124,53
89,999999,11,999999,999999,28,999999,999999,999999,999999,15,24,73,29,999999,153,999999,999999,999999,66,999999,999999,999999,999999,999999,999999,999999,999999,26,999999,9,999999,80,999999,999999,999999,999999,999999,999999,999999,56,999999,999999,33,999999,999999,999999,999999,35,999999,33,999999,30,999999,25,151,999999,999999,999999,17,999999,999999,999999,21,119,999999,36,999999,1775,53,999999,999999,24,238,999999,84,513,20,999999,10,1387,12,10,999999,6,35,12,129,999999,999999,5,999999,1914,999999,118,80,34,103,999999,17,130,999999,999999,999999,999999,23,999999,17
